Gene,Contrast,Estimate,Pr(>|t|),FDR
MKKS,Brain - Breast,0.659155199,0.69929938,0.921850591
YTHDF2,Brain - Breast,0.589051623,0.700578041,0.922288111
SLC16A1,Brain - Breast,-0.721804813,0.700360124,0.922288111
CLK3,Brain - Breast,0.639303494,0.69999512,0.922288111
RNF7,Brain - Breast,-0.560304874,0.700354539,0.922288111
FNBP1,Brain - Breast,0.429091237,0.700245302,0.922288111
ZC3H4,Brain - Breast,0.510902736,0.700311427,0.922288111
CFD,Brain - Breast,0.608489314,0.700488815,0.922288111
BRAT1,Brain - Breast,0.562715194,0.700731287,0.922320155
RFX2,Brain - Breast,-0.201207201,0.701649615,0.922733913
AFTPH,Brain - Breast,-0.571345589,0.701533355,0.922733913
NFKBIZ,Brain - Breast,0.521408184,0.701719177,0.922733913
GPX4,Brain - Breast,0.071665145,0.703243775,0.922733913
GPD2,Brain - Breast,-0.654548661,0.702543025,0.922733913
JDP2,Brain - Breast,-0.605307602,0.702895088,0.922733913
PARP9,Brain - Breast,0.367042335,0.702544003,0.922733913
BIRC5,Brain - Breast,-0.209682391,0.702184566,0.922733913
UCKL1,Brain - Breast,0.654648535,0.702647252,0.922733913
PKIB,Brain - Breast,-0.640127235,0.7020652,0.922733913
CDH5,Brain - Breast,0.615631664,0.701387072,0.922733913
FKBP3,Brain - Breast,0.281643067,0.7025561,0.922733913
EIF3D,Brain - Breast,-0.202796418,0.702834334,0.922733913
MLLT1,Brain - Breast,0.614183365,0.703632476,0.922733913
HMG20B,Brain - Breast,0.451115148,0.703211646,0.922733913
ZNF544,Brain - Breast,0.705981855,0.703753873,0.922733913
PHF14,Brain - Breast,-0.64055093,0.703728711,0.922733913
TNS1,Brain - Breast,0.421617721,0.703591897,0.922733913
NIFK,Brain - Breast,0.5382887,0.703377197,0.922733913
RHPN1,Brain - Breast,0.638041886,0.702515139,0.922733913
ARHGAP18,Brain - Breast,-0.520979747,0.702542402,0.922733913
WDR6,Brain - Breast,0.604274747,0.703887769,0.922740379
COMMD5,Brain - Breast,-0.544757347,0.704401127,0.922856433
SORL1,Brain - Breast,0.374914964,0.704894066,0.922856433
CDK13,Brain - Breast,-0.550389251,0.705008143,0.922856433
PKMYT1,Brain - Breast,-0.075372579,0.704771249,0.922856433
HS6ST1,Brain - Breast,0.541080451,0.704700106,0.922856433
FAM3A,Brain - Breast,-0.274220137,0.704656455,0.922856433
RASSF4,Brain - Breast,-0.465251028,0.704587338,0.922856433
DGCR6L,Brain - Breast,0.44718985,0.704992478,0.922856433
ARHGDIA,Brain - Breast,0.081183678,0.705424533,0.923232583
TPM3,Brain - Breast,-0.210305268,0.706611558,0.92355734
HSPB1,Brain - Breast,0.329586786,0.706705302,0.92355734
RAB13,Brain - Breast,0.46873203,0.706253969,0.92355734
YY1,Brain - Breast,-0.456047087,0.706120798,0.92355734
IDI1,Brain - Breast,-0.712651658,0.706553573,0.92355734
RNF6,Brain - Breast,-0.607489159,0.705962331,0.92355734
CABIN1,Brain - Breast,-0.621640273,0.70583111,0.92355734
PPP6R1,Brain - Breast,-0.104892822,0.706430881,0.92355734
VPS35,Brain - Breast,-0.628780914,0.706969074,0.923733332
USP9X,Brain - Breast,0.360622293,0.707260831,0.923897277
LIG3,Brain - Breast,0.716192604,0.70755131,0.923897277
VPS13B,Brain - Breast,-0.308373904,0.707586541,0.923897277
YME1L1,Brain - Breast,0.0817615,0.707740178,0.923897277
LNX2,Brain - Breast,0.715463508,0.707715842,0.923897277
HDAC7,Brain - Breast,0.3586642,0.709857354,0.92397676
CD84,Brain - Breast,0.538747617,0.71252257,0.92397676
IFIT1,Brain - Breast,-0.669941432,0.710859968,0.92397676
AKR1B1,Brain - Breast,-0.493220097,0.709910676,0.92397676
CUL1,Brain - Breast,-0.594190156,0.708669893,0.92397676
SGPL1,Brain - Breast,-0.447296393,0.712966554,0.92397676
CEACAM5,Brain - Breast,0.766836712,0.70877864,0.92397676
ATP6V0D1,Brain - Breast,0.524268251,0.711527342,0.92397676
GMFG,Brain - Breast,-0.50731774,0.712682162,0.92397676
GRB7,Brain - Breast,-0.71981875,0.712964375,0.92397676
ARIH1,Brain - Breast,0.430946777,0.712666043,0.92397676
RUVBL2,Brain - Breast,0.066872565,0.710186927,0.92397676
TPBG,Brain - Breast,0.561811719,0.712833121,0.92397676
NT5C2,Brain - Breast,0.601673798,0.711391401,0.92397676
CNOT7,Brain - Breast,-0.505324157,0.710028244,0.92397676
NTMT1,Brain - Breast,-0.663062977,0.712717963,0.92397676
MRPL13,Brain - Breast,0.652482528,0.708337716,0.92397676
AIG1,Brain - Breast,-0.689109618,0.710776303,0.92397676
BTBD2,Brain - Breast,0.439458114,0.71206808,0.92397676
FLAD1,Brain - Breast,0.502845764,0.709097886,0.92397676
PAPOLA,Brain - Breast,-0.267862865,0.71042737,0.92397676
ZSWIM3,Brain - Breast,-0.527205798,0.707955888,0.92397676
KLHDC8B,Brain - Breast,-0.568471802,0.710556048,0.92397676
UBE2D2,Brain - Breast,-0.262305773,0.710188766,0.92397676
FOXM1,Brain - Breast,-0.606002096,0.711058046,0.92397676
MYNN,Brain - Breast,0.613800287,0.711684375,0.92397676
COMMD9,Brain - Breast,0.689632051,0.709377777,0.92397676
CRAT,Brain - Breast,-0.524246371,0.708633434,0.92397676
HMGN2,Brain - Breast,0.07396325,0.711676079,0.92397676
ACACA,Brain - Breast,0.543619485,0.709389205,0.92397676
ARPC5L,Brain - Breast,0.502261164,0.711090611,0.92397676
FZD4,Brain - Breast,0.588438648,0.710464919,0.92397676
GARS1,Brain - Breast,-0.585493518,0.710288499,0.92397676
HMGB3,Brain - Breast,-0.696991543,0.712340141,0.92397676
IL7R,Brain - Breast,-0.638762242,0.712436378,0.92397676
MTRNR2L10,Brain - Breast,0.666911514,0.710993636,0.92397676
MUCL1,Brain - Breast,0.729682617,0.712944416,0.92397676
NBPF14,Brain - Breast,0.441294286,0.711235814,0.92397676
RRS1,Brain - Breast,-0.601168523,0.708359943,0.92397676
SLC29A1,Brain - Breast,0.678263982,0.709107585,0.92397676
DZIP1L,Brain - Breast,0.51770645,0.713257681,0.924130702
HOXB3,Brain - Breast,-0.517248702,0.713432394,0.924130702
TALDO1,Brain - Breast,0.492476198,0.713588198,0.924130702
COQ7,Brain - Breast,-0.548223102,0.713601975,0.924130702
ATP5F1A,Brain - Breast,-0.072390156,0.714728404,0.924151656
TCEAL4,Brain - Breast,-0.448630954,0.714217117,0.924151656
PPFIBP1,Brain - Breast,0.594652773,0.714170495,0.924151656
SREBF2,Brain - Breast,-0.378030702,0.714294283,0.924151656
CDC123,Brain - Breast,0.510317423,0.714514445,0.924151656
ZNF652,Brain - Breast,-0.52561532,0.713976925,0.924151656
ELAPOR1,Brain - Breast,0.761160224,0.714098228,0.924151656
SENP5,Brain - Breast,-0.515265481,0.71478061,0.924151656
PIGC,Brain - Breast,-0.495702786,0.714711629,0.924151656
FAM120AOS,Brain - Breast,-0.460922531,0.715312561,0.924672334
PRDX5,Brain - Breast,-0.257673733,0.715628075,0.924913091
MRPL42,Brain - Breast,0.466783136,0.715764999,0.924922985
TP53INP2,Brain - Breast,0.434636652,0.716072878,0.924987235
ING1,Brain - Breast,0.659906703,0.716073277,0.924987235
RNF139,Brain - Breast,-0.574383599,0.716211186,0.924998382
RNF213,Brain - Breast,-0.208319788,0.716517772,0.925090539
PLEKHF2,Brain - Breast,0.517592004,0.716541127,0.925090539
IGF2,Brain - Breast,0.734773928,0.716684018,0.925108092
WAS,Brain - Breast,-0.515182019,0.717238639,0.925382353
ARL16,Brain - Breast,0.655017613,0.71714335,0.925382353
ARHGEF1,Brain - Breast,-0.389931809,0.717284491,0.925382353
NUDT5,Brain - Breast,-0.517286338,0.71767378,0.925585678
MFN2,Brain - Breast,-0.584911981,0.718088903,0.925585678
ARID5B,Brain - Breast,-0.349316785,0.717736113,0.925585678
TIMM23B,Brain - Breast,0.387356872,0.717939314,0.925585678
GSTP1,Brain - Breast,-0.301630283,0.718018318,0.925585678
RIOK3,Brain - Breast,-0.592849725,0.718781826,0.926311953
GPX1,Brain - Breast,-0.230563276,0.719763583,0.926454564
TSPO,Brain - Breast,-0.490826387,0.721773082,0.926454564
TCEAL1,Brain - Breast,0.601306007,0.721393465,0.926454564
GTPBP10,Brain - Breast,-0.561425406,0.720222194,0.926454564
SCRN1,Brain - Breast,0.511374833,0.722647508,0.926454564
TRIM45,Brain - Breast,0.497063666,0.71992423,0.926454564
EIF4G3,Brain - Breast,-0.292696695,0.721180917,0.926454564
EIF3C,Brain - Breast,-0.068098555,0.720116473,0.926454564
TNFRSF19,Brain - Breast,-0.66139808,0.720382475,0.926454564
DAD1,Brain - Breast,0.304808754,0.722101766,0.926454564
SRM,Brain - Breast,0.563470987,0.722112658,0.926454564
COX6C,Brain - Breast,-0.285103421,0.721045575,0.926454564
SNAP29,Brain - Breast,0.442545651,0.72252864,0.926454564
SCAMP1,Brain - Breast,0.499560629,0.722281682,0.926454564
PRKAA1,Brain - Breast,-0.623968501,0.721877004,0.926454564
ARFGEF1,Brain - Breast,-0.510399249,0.722134566,0.926454564
PFDN2,Brain - Breast,0.369985348,0.722562707,0.926454564
SETD2,Brain - Breast,-0.576888605,0.719427988,0.926454564
ZC3H11A,Brain - Breast,0.404849817,0.721462483,0.926454564
ESYT1,Brain - Breast,-0.608991263,0.719668899,0.926454564
SERINC1,Brain - Breast,-0.324100784,0.720996073,0.926454564
MRPS35,Brain - Breast,0.422167331,0.719340073,0.926454564
CASD1,Brain - Breast,0.622902957,0.722078156,0.926454564
PRR15L,Brain - Breast,0.595234821,0.722408578,0.926454564
ZFAND1,Brain - Breast,-0.57526191,0.720548975,0.926454564
WDR61,Brain - Breast,-0.488448586,0.722325655,0.926454564
PRR3,Brain - Breast,-0.556006274,0.720412863,0.926454564
NUDT8,Brain - Breast,-0.472567245,0.722235388,0.926454564
RELL1,Brain - Breast,-0.452224281,0.719401248,0.926454564
HNMT,Brain - Breast,-0.593518309,0.723419123,0.926518278
MRPL3,Brain - Breast,0.515507749,0.723294052,0.926518278
CKAP5,Brain - Breast,0.65424737,0.723295038,0.926518278
NOTCH2NLA,Brain - Breast,-0.209718241,0.722959018,0.926518278
CILK1,Brain - Breast,-0.60113802,0.723354654,0.926518278
HAX1,Brain - Breast,-0.394671982,0.72347416,0.926518278
DHX15,Brain - Breast,-0.334265866,0.723848063,0.926717764
ARCN1,Brain - Breast,-0.540586012,0.724251161,0.926717764
THAP4,Brain - Breast,0.358298859,0.724131625,0.926717764
IKZF5,Brain - Breast,-0.427603695,0.724277531,0.926717764
MAIP1,Brain - Breast,0.562392422,0.724045024,0.926717764
RANGAP1,Brain - Breast,0.476476861,0.724527311,0.926871609
CYB5B,Brain - Breast,0.453914036,0.724832286,0.927095997
CLTA,Brain - Breast,-0.266148652,0.725346798,0.927588264
EEF2K,Brain - Breast,0.466054726,0.725549917,0.927682211
CPSF7,Brain - Breast,0.504575236,0.726135887,0.928245753
PDK4,Brain - Breast,0.521681839,0.726331562,0.928245753
IER2,Brain - Breast,-0.413438468,0.726484612,0.928245753
FNDC3B,Brain - Breast,0.355744109,0.726509604,0.928245753
MPRIP,Brain - Breast,-0.465800159,0.726655582,0.928266505
BIN1,Brain - Breast,0.468632937,0.726832416,0.928326658
FOXD4L1,Brain - Breast,-0.55571777,0.726998643,0.928373245
KRT18,Brain - Breast,-0.215441912,0.727597321,0.928605434
TNRC18,Brain - Breast,0.58466025,0.727510339,0.928605434
DDIT3,Brain - Breast,0.533006928,0.727699604,0.928605434
PODXL2,Brain - Breast,-0.621518879,0.727687016,0.928605434
TUBG1,Brain - Breast,0.710511882,0.727841953,0.928621465
SEC22C,Brain - Breast,-0.55694541,0.728125023,0.928709488
FILIP1L,Brain - Breast,0.462783155,0.728273864,0.928709488
FHIP1B,Brain - Breast,0.569162605,0.728300341,0.928709488
ANKRD44,Brain - Breast,-0.493043255,0.7286664,0.929010708
CHD2,Brain - Breast,-0.282200186,0.728899434,0.92914225
WDR45,Brain - Breast,-0.540738315,0.729449369,0.929203699
ATF3,Brain - Breast,0.605578053,0.729328481,0.929203699
SEPTIN10,Brain - Breast,0.684582884,0.729467111,0.929203699
SOD1,Brain - Breast,-0.392270553,0.729215998,0.929203699
HNRNPK,Brain - Breast,-0.185662439,0.729760845,0.929246992
ZNHIT3,Brain - Breast,-0.595555434,0.729726909,0.929246992
ADGRL2,Brain - Breast,-0.576955525,0.730536666,0.9297385
MST1,Brain - Breast,-0.63007016,0.730376736,0.9297385
SPSB3,Brain - Breast,-0.519020341,0.730457908,0.9297385
SLC35E2B,Brain - Breast,0.492617498,0.7309374,0.930083068
MARCHF2,Brain - Breast,-0.453543668,0.73146398,0.930547116
TFPT,Brain - Breast,0.668717808,0.731573541,0.930547116
DSE,Brain - Breast,-0.602318044,0.731692254,0.930547116
SF3A1,Brain - Breast,-0.560631423,0.732282458,0.930739974
ANXA5,Brain - Breast,-0.076475639,0.732624394,0.930739974
MAFF,Brain - Breast,-0.608548063,0.732465558,0.930739974
SUCLG2,Brain - Breast,-0.554521059,0.732128392,0.930739974
SNRNP200,Brain - Breast,-0.485332359,0.732220137,0.930739974
RREB1,Brain - Breast,-0.474091676,0.732539059,0.930739974
PLD3,Brain - Breast,-0.087222252,0.73288913,0.93085664
ECSCR,Brain - Breast,-0.574194857,0.735246933,0.93085664
TECPR2,Brain - Breast,-0.53063226,0.734602862,0.93085664
HOXB2,Brain - Breast,0.502482344,0.734315952,0.93085664
PEX13,Brain - Breast,0.558111,0.735782618,0.93085664
AP3D1,Brain - Breast,0.382416089,0.733220344,0.93085664
ENSA,Brain - Breast,-0.243676709,0.735165295,0.93085664
AKAP17A,Brain - Breast,-0.595061742,0.735603334,0.93085664
JUND,Brain - Breast,-0.244248755,0.735937861,0.93085664
MRC2,Brain - Breast,-0.547263308,0.735387338,0.93085664
PYCR1,Brain - Breast,-0.462807686,0.73412257,0.93085664
TPX2,Brain - Breast,0.618517127,0.734000253,0.93085664
UBXN7,Brain - Breast,-0.587376604,0.733515636,0.93085664
NOC2L,Brain - Breast,-0.635151295,0.735799475,0.93085664
QRICH1,Brain - Breast,0.473001531,0.735595065,0.93085664
REXO1,Brain - Breast,-0.509439884,0.734819223,0.93085664
NABP2,Brain - Breast,0.54081854,0.734166591,0.93085664
DCTPP1,Brain - Breast,0.360479748,0.734283635,0.93085664
SLC37A3,Brain - Breast,-0.579389455,0.733797821,0.93085664
ZC3H18,Brain - Breast,0.49171845,0.73505161,0.93085664
IL4I1,Brain - Breast,-0.078793215,0.734172462,0.93085664
MS4A4A,Brain - Breast,-0.610626822,0.734159251,0.93085664
SARS1,Brain - Breast,0.355167781,0.735699309,0.93085664
TOR1AIP2,Brain - Breast,0.37636084,0.734484636,0.93085664
UBA7,Brain - Breast,-0.552619116,0.735968695,0.93085664
ADD3,Brain - Breast,0.466046752,0.736457712,0.931260699
CHMP2A,Brain - Breast,-0.635690382,0.736548469,0.931260699
ARHGAP12,Brain - Breast,0.612552343,0.736687219,0.931271565
TANGO2,Brain - Breast,0.476497951,0.736826244,0.931282773
PRPF18,Brain - Breast,-0.58486511,0.737466206,0.931762442
TEDC2,Brain - Breast,-0.434421027,0.737353177,0.931762442
HNRNPR,Brain - Breast,-0.45902865,0.738274623,0.932619161
SCAF1,Brain - Breast,-0.543125115,0.738814565,0.933136489
TPCN1,Brain - Breast,0.539592524,0.739016451,0.93322674
CPNE1,Brain - Breast,-0.176731953,0.739253443,0.933361282
PSAT1,Brain - Breast,-0.59267738,0.739659553,0.933525011
S100A16,Brain - Breast,0.354571921,0.739596994,0.933525011
CBLB,Brain - Breast,-0.544789929,0.739774537,0.933525011
NDUFA5,Brain - Breast,-0.443838754,0.740212132,0.933912503
FBP1,Brain - Breast,0.503140283,0.740646658,0.933966465
PAPSS2,Brain - Breast,-0.556431813,0.740597006,0.933966465
EFS,Brain - Breast,-0.57768663,0.740553932,0.933966465
NFAM1,Brain - Breast,0.3342225,0.740777036,0.933966465
VPS51,Brain - Breast,0.556072322,0.740925816,0.933989467
ZMYM2,Brain - Breast,-0.405301154,0.741563375,0.934628492
UBAP2L,Brain - Breast,-0.30619296,0.741906644,0.934896449
TP53I11,Brain - Breast,-0.503376868,0.742241797,0.935154086
GOLGA8A,Brain - Breast,0.338609889,0.742457044,0.935187371
PRELID3B,Brain - Breast,0.047785203,0.742660327,0.935187371
NELL2,Brain - Breast,-0.628707347,0.742580225,0.935187371
MAPKAP1,Brain - Breast,0.300575568,0.743242106,0.935372181
PGAP2,Brain - Breast,-0.549375354,0.743445797,0.935372181
VPS8,Brain - Breast,-0.594894174,0.7437222,0.935372181
TMEM43,Brain - Breast,-0.516462185,0.742986036,0.935372181
CCDC92,Brain - Breast,-0.398371169,0.743622559,0.935372181
H2BC15,Brain - Breast,0.436044595,0.743188762,0.935372181
PGAP6,Brain - Breast,-0.47272139,0.743612976,0.935372181
STRN4,Brain - Breast,-0.48636174,0.744422698,0.935398209
SQSTM1,Brain - Breast,-0.078070247,0.744527295,0.935398209
CCS,Brain - Breast,0.399883813,0.744340589,0.935398209
POLR3K,Brain - Breast,0.448266565,0.744162485,0.935398209
METRN,Brain - Breast,0.356847019,0.744396077,0.935398209
JTB,Brain - Breast,0.175147048,0.744062437,0.935398209
ZNF506,Brain - Breast,0.462790359,0.744880266,0.935677371
FAM126B,Brain - Breast,-0.427681222,0.745081286,0.935765596
LDB1,Brain - Breast,0.302513731,0.745714922,0.93593628
NDUFA2,Brain - Breast,0.424988142,0.746002042,0.93593628
CLTB,Brain - Breast,-0.170011327,0.745469947,0.93593628
MEX3C,Brain - Breast,-0.392820019,0.745633534,0.93593628
DENND4C,Brain - Breast,-0.604714674,0.745924536,0.93593628
CCT6A,Brain - Breast,-0.227599537,0.745756338,0.93593628
GPAA1,Brain - Breast,-0.230189331,0.74615562,0.935964842
PDPK1,Brain - Breast,0.540913111,0.746853016,0.936183134
UPP1,Brain - Breast,0.281096535,0.746472827,0.936183134
DENND1A,Brain - Breast,-0.603907542,0.746603309,0.936183134
RPL7L1,Brain - Breast,-0.069548235,0.746794899,0.936183134
SC5D,Brain - Breast,0.462216493,0.747172747,0.936419864
IAH1,Brain - Breast,-0.416513525,0.747713896,0.936522725
ABCE1,Brain - Breast,-0.500227448,0.748171055,0.936522725
CD93,Brain - Breast,-0.38912067,0.748109362,0.936522725
UCK2,Brain - Breast,0.574452961,0.748144103,0.936522725
NMRAL1,Brain - Breast,-0.450683985,0.7480447,0.936522725
SENP1,Brain - Breast,-0.433563827,0.747842,0.936522725
ATP6V1G1,Brain - Breast,-0.229631453,0.747515597,0.936522725
NCK1,Brain - Breast,0.61452429,0.74866994,0.936632288
ATG4B,Brain - Breast,0.37949283,0.748950415,0.936632288
DDIT4,Brain - Breast,-0.234441474,0.748828991,0.936632288
BRI3BP,Brain - Breast,-0.486974269,0.748819999,0.936632288
PAGR1,Brain - Breast,-0.535026404,0.748571083,0.936632288
PTPRB,Brain - Breast,-0.576662069,0.749044018,0.936632288
C18orf32,Brain - Breast,-0.074812104,0.749705085,0.936640455
SLC52A2,Brain - Breast,0.46769713,0.74960858,0.936640455
TIMM10B,Brain - Breast,-0.522867958,0.749599652,0.936640455
GIT2,Brain - Breast,-0.307546554,0.749623228,0.936640455
ATL3,Brain - Breast,0.445433756,0.749356034,0.936640455
MAP3K1,Brain - Breast,0.503851334,0.750213336,0.937111805
PPP2CA,Brain - Breast,-0.40503366,0.750447264,0.937240386
METRNL,Brain - Breast,-0.298881083,0.751686163,0.937789766
TFPI,Brain - Breast,-0.428142427,0.751754258,0.937789766
RNASEH2B,Brain - Breast,0.562405057,0.751087164,0.937789766
PDZD2,Brain - Breast,-0.247411786,0.751429977,0.937789766
MFGE8,Brain - Breast,-0.454549603,0.751278656,0.937789766
DCP2,Brain - Breast,0.421905716,0.751804626,0.937789766
NUDT4,Brain - Breast,-0.554494609,0.751774534,0.937789766
MPST,Brain - Breast,-0.459145279,0.752874078,0.938398914
SHC1,Brain - Breast,-0.271219494,0.753121082,0.938398914
BZW1,Brain - Breast,-0.183735828,0.753211036,0.938398914
COX7A2,Brain - Breast,-0.297707903,0.75295713,0.938398914
VASH1,Brain - Breast,0.504596568,0.753003187,0.938398914
SMYD4,Brain - Breast,0.585234162,0.752978925,0.938398914
CCDC12,Brain - Breast,-0.597650163,0.753007828,0.938398914
AMPD2,Brain - Breast,-0.465655361,0.753688909,0.938695293
HNRNPDL,Brain - Breast,-0.171159925,0.753711315,0.938695293
SLC7A6,Brain - Breast,0.308291386,0.754377139,0.939361021
TRIM28,Brain - Breast,-0.218344901,0.754576508,0.939445783
CARMIL1,Brain - Breast,0.516199852,0.755280199,0.939994751
TMEM248,Brain - Breast,-0.274304704,0.755276323,0.939994751
DEXI,Brain - Breast,0.477161214,0.755627931,0.940100477
SYNJ2BP,Brain - Breast,0.407446057,0.755583833,0.940100477
DNAJA4,Brain - Breast,-0.4624767,0.755800595,0.940151818
DDX54,Brain - Breast,-0.483635773,0.756427171,0.940420132
CHD4,Brain - Breast,-0.261054548,0.756364681,0.940420132
RNF24,Brain - Breast,0.502655152,0.756596442,0.940420132
ZHX3,Brain - Breast,0.506886784,0.756538603,0.940420132
FAM214A,Brain - Breast,0.496848654,0.756789325,0.940420132
CBWD2,Brain - Breast,-0.171372702,0.756804909,0.940420132
SRRM1,Brain - Breast,-0.53230948,0.757148784,0.940520755
COMMD4,Brain - Breast,0.459741995,0.757114623,0.940520755
PNLIPRP3,Brain - Breast,-0.270811755,0.757330525,0.940583216
RAB31,Brain - Breast,-0.387434701,0.757546097,0.940649962
RMDN1,Brain - Breast,-0.36277955,0.757647202,0.940649962
XPO6,Brain - Breast,0.36329366,0.758290768,0.941122367
RAPH1,Brain - Breast,0.467317925,0.758178921,0.941122367
NDUFA9,Brain - Breast,-0.489286163,0.758535328,0.94126262
TFDP1,Brain - Breast,0.326225023,0.758871294,0.941449134
POLR2L,Brain - Breast,-0.241449969,0.758948791,0.941449134
ULK1,Brain - Breast,0.333617115,0.759463175,0.941748564
FBXL3,Brain - Breast,-0.411736552,0.759721163,0.941748564
FAM168A,Brain - Breast,0.466810554,0.759695674,0.941748564
URI1,Brain - Breast,-0.273023331,0.759882208,0.941748564
F11R,Brain - Breast,0.2231504,0.759979904,0.941748564
NENF,Brain - Breast,0.346951249,0.759782859,0.941748564
CRIM1,Brain - Breast,0.519127469,0.760196823,0.941854245
BOD1,Brain - Breast,0.444291672,0.76052043,0.942092049
PDE8A,Brain - Breast,-0.543398469,0.761798303,0.942192941
PRKCI,Brain - Breast,-0.483923712,0.760946308,0.942192941
SPTAN1,Brain - Breast,-0.161147206,0.761918708,0.942192941
NOL11,Brain - Breast,0.503136074,0.761555891,0.942192941
SNRK,Brain - Breast,-0.420001086,0.761751562,0.942192941
SMPD4,Brain - Breast,-0.467626593,0.761632799,0.942192941
PHF20L1,Brain - Breast,0.282038827,0.761560551,0.942192941
SIKE1,Brain - Breast,0.524650928,0.76186644,0.942192941
SYT11,Brain - Breast,-0.36797413,0.761901953,0.942192941
LSM3,Brain - Breast,-0.408722563,0.761174758,0.942192941
DCAF4,Brain - Breast,0.588450648,0.762299625,0.942501091
TIMM13,Brain - Breast,-0.335170069,0.762720051,0.942857976
VHL,Brain - Breast,-0.215701483,0.765172289,0.942888474
COA5,Brain - Breast,0.368775213,0.767602427,0.942888474
SPPL2B,Brain - Breast,-0.522306855,0.767605976,0.942888474
GAS7,Brain - Breast,0.396292999,0.767048509,0.942888474
PIGT,Brain - Breast,-0.501516744,0.762968059,0.942888474
TLE3,Brain - Breast,-0.490710396,0.763617971,0.942888474
PIK3C3,Brain - Breast,0.444236856,0.766571131,0.942888474
PSMA5,Brain - Breast,-0.368654035,0.764782656,0.942888474
BECN1,Brain - Breast,-0.38593368,0.767491838,0.942888474
RNF8,Brain - Breast,-0.453133829,0.76728386,0.942888474
OSMR,Brain - Breast,-0.459967309,0.763133581,0.942888474
RECQL5,Brain - Breast,-0.473032456,0.764334511,0.942888474
ATP2A1,Brain - Breast,-0.342185743,0.764455479,0.942888474
SNRPA,Brain - Breast,0.392059719,0.764746026,0.942888474
ZBTB22,Brain - Breast,0.451297386,0.763586206,0.942888474
NFIB,Brain - Breast,-0.31438147,0.766047431,0.942888474
SLC12A7,Brain - Breast,0.433584707,0.767752376,0.942888474
LDOC1,Brain - Breast,0.4661651,0.76415471,0.942888474
TICAM1,Brain - Breast,-0.508363945,0.76423523,0.942888474
BRD4,Brain - Breast,-0.15986603,0.763748629,0.942888474
KLHDC2,Brain - Breast,-0.421693397,0.764347456,0.942888474
MTCH2,Brain - Breast,0.06025882,0.766675399,0.942888474
SH3BP4,Brain - Breast,-0.423399288,0.764802088,0.942888474
PPWD1,Brain - Breast,-0.535498581,0.767707748,0.942888474
PLEKHG3,Brain - Breast,-0.499362595,0.766838599,0.942888474
TOB2,Brain - Breast,0.334367595,0.765943534,0.942888474
LAMTOR1,Brain - Breast,0.341414642,0.765381866,0.942888474
ZC3HAV1,Brain - Breast,-0.500389005,0.767189014,0.942888474
PLEKHA4,Brain - Breast,-0.426609785,0.76637855,0.942888474
MFSD11,Brain - Breast,0.471374879,0.764549024,0.942888474
SYTL2,Brain - Breast,-0.455249942,0.766436898,0.942888474
ARHGAP9,Brain - Breast,-0.422113349,0.765807596,0.942888474
MBD6,Brain - Breast,-0.536656207,0.767471312,0.942888474
AP5B1,Brain - Breast,0.482264973,0.766613872,0.942888474
CREBZF,Brain - Breast,0.446258494,0.766086652,0.942888474
BAGE3,Brain - Breast,-0.466333826,0.767731276,0.942888474
NAP1L4,Brain - Breast,-0.264968553,0.764551271,0.942888474
NSL1,Brain - Breast,0.470234225,0.765180343,0.942888474
CRY2,Brain - Breast,-0.475807838,0.768099986,0.943153492
USP14,Brain - Breast,-0.257242377,0.768248551,0.943174054
SERPINB6,Brain - Breast,-0.24861538,0.768548622,0.943245516
TCF19,Brain - Breast,-0.567531385,0.768570421,0.943245516
CHMP2B,Brain - Breast,-0.476781378,0.76905181,0.943350883
MRPS18B,Brain - Breast,-0.151535099,0.769006484,0.943350883
RBMX2,Brain - Breast,-0.451535228,0.768905941,0.943350883
CD2AP,Brain - Breast,0.477466307,0.769468582,0.94360192
USP53,Brain - Breast,-0.410274715,0.769783984,0.94360192
NUFIP2,Brain - Breast,0.42176673,0.76952615,0.94360192
SNX14,Brain - Breast,0.42852526,0.769771492,0.94360192
ANKLE2,Brain - Breast,0.26723464,0.770576297,0.94441134
RANBP2,Brain - Breast,0.229566831,0.770908028,0.944656095
SLAIN2,Brain - Breast,-0.252664783,0.771047463,0.944665171
GMPR2,Brain - Breast,-0.456362854,0.771613391,0.94467609
AFF4,Brain - Breast,-0.279220716,0.771534756,0.94467609
COQ9,Brain - Breast,0.353543864,0.771682968,0.94467609
THOC7,Brain - Breast,-0.366952519,0.771716526,0.94467609
NRBF2,Brain - Breast,-0.357833262,0.771219073,0.94467609
SS18L2,Brain - Breast,-0.429608662,0.771979845,0.944836775
SGCB,Brain - Breast,-0.505652746,0.772215436,0.944944302
GAR1,Brain - Breast,0.539135991,0.772400233,0.944944302
UBE2I,Brain - Breast,-0.282516402,0.772463903,0.944944302
PARL,Brain - Breast,-0.332725452,0.77304726,0.945098229
PPP4R1,Brain - Breast,-0.452331996,0.773066408,0.945098229
CD9,Brain - Breast,0.269565541,0.77284621,0.945098229
NAPA,Brain - Breast,0.388435179,0.77311809,0.945098229
SLCO2B1,Brain - Breast,0.286740205,0.773851989,0.945833786
BANF1,Brain - Breast,0.3039071,0.775573126,0.945998247
ITPA,Brain - Breast,-0.550368116,0.775002087,0.945998247
AKT2,Brain - Breast,0.42040961,0.774226912,0.945998247
