"","DSP-1001660005648-A-C05.dcc","DSP-1001660005648-A-C06.dcc","DSP-1001660005648-A-C07.dcc","DSP-1001660005648-A-C08.dcc","DSP-1001660005648-A-C10.dcc","DSP-1001660005648-A-C12.dcc","DSP-1001660005648-A-D01.dcc","DSP-1001660005648-A-D02.dcc","DSP-1001660005648-A-D03.dcc","DSP-1001660005648-A-D04.dcc","DSP-1001660005648-A-D05.dcc","DSP-1001660005648-A-D06.dcc","DSP-1001660005648-A-D07.dcc","DSP-1001660005648-A-D08.dcc","DSP-1001660005648-A-D09.dcc","DSP-1001660005648-A-D10.dcc","DSP-1001660005648-A-E01.dcc","DSP-1001660005648-A-E02.dcc","DSP-1001660005648-A-E03.dcc","DSP-1001660005648-A-E04.dcc","DSP-1001660005648-A-E06.dcc","DSP-1001660005648-A-E07.dcc","DSP-1001660005649-B-B11.dcc","DSP-1001660005649-B-B12.dcc","DSP-1001660005649-B-C01.dcc","DSP-1001660005649-B-C02.dcc","DSP-1001660005649-B-C05.dcc","DSP-1001660005649-B-C06.dcc","DSP-1001660005649-B-C07.dcc","DSP-1001660005649-B-C08.dcc","DSP-1001660005649-B-C09.dcc","DSP-1001660005649-B-C12.dcc","DSP-1001660005649-B-D01.dcc","DSP-1001660005649-B-D02.dcc","DSP-1001660005649-B-D03.dcc","DSP-1001660005649-B-D04.dcc","DSP-1001660005649-B-D05.dcc","DSP-1001660005649-B-D07.dcc","DSP-1001660005649-B-E09.dcc","DSP-1001660005649-B-E12.dcc","DSP-1001660005649-B-F01.dcc","DSP-1001660005649-B-F02.dcc","DSP-1001660005649-B-F05.dcc","DSP-1001660005649-B-F07.dcc","DSP-1001660005649-B-F09.dcc","DSP-1001660005649-B-F11.dcc","DSP-1001660005649-B-F12.dcc","DSP-1001660005649-B-G01.dcc","DSP-1001660005649-B-G03.dcc","DSP-1001660005649-B-G06.dcc","DSP-1001660005649-B-G07.dcc","DSP-1001660005649-B-G08.dcc","DSP-1001660005649-B-G11.dcc","DSP-1001660005649-B-H01.dcc","DSP-1001660005649-B-H02.dcc","DSP-1001660005649-B-H05.dcc","DSP-1001660005649-B-H06.dcc","DSP-1001660005649-B-H08.dcc","DSP-1001660005649-B-H09.dcc","DSP-1001660005649-B-H12.dcc","DSP-1001660012098-D-A02.dcc","DSP-1001660012098-D-A03.dcc","DSP-1001660012098-D-A06.dcc","DSP-1001660012098-D-A09.dcc","DSP-1001660012098-D-B02.dcc","DSP-1001660012098-D-B03.dcc","DSP-1001660012099-C-E02.dcc","DSP-1001660012099-C-E03.dcc","DSP-1001660012099-C-E04.dcc","DSP-1001660012099-C-E05.dcc","DSP-1001660012099-C-E06.dcc","DSP-1001660012099-C-E07.dcc","DSP-1001660012099-C-E08.dcc","DSP-1001660012099-C-E09.dcc","DSP-1001660012099-C-E10.dcc","DSP-1001660012099-C-E11.dcc","DSP-1001660012099-C-F02.dcc","DSP-1001660012099-C-F03.dcc","DSP-1001660012099-C-F06.dcc","DSP-1001660012099-C-F07.dcc","DSP-1001660012099-C-F08.dcc","DSP-1001660012099-C-F09.dcc","DSP-1001660012099-C-F10.dcc","DSP-1001660012099-C-F11.dcc","DSP-1001660012099-C-G01.dcc","DSP-1001660012099-C-G02.dcc","DSP-1001660012099-C-G03.dcc","DSP-1001660012099-C-G04.dcc","DSP-1001660012099-C-G05.dcc","DSP-1001660012099-C-G06.dcc","DSP-1001660012099-C-G09.dcc","DSP-1001660012099-C-G12.dcc","DSP-1001660012099-C-H07.dcc"
"TXNDC17",0,3,0,1,1,4,3,1,2,0,0,5,0,1,2,1,1,1,1,2,3,1,1,1,4,2,2,5,0,10,4,1,0,4,5,2,0,0,3,2,0,0,7,0,4,6,3,7,3,2,1,1,10,12,4,0,8,4,6,1,0,1,18,9,2,2,3,3,3,3,5,13,25,2,5,2,4,25,1,6,3,4,3,9,5,6,1,4,1,9,10,7,0
"AGPAT1",3,3,2,2,1,6,3,1,3,1,4,8,1,2,5,3,2,3,5,1,6,1,5,3,6,8,14,7,9,11,35,2,3,9,11,5,3,2,4,7,4,2,9,1,7,6,3,7,3,5,1,4,14,21,11,8,6,19,8,5,7,3,27,7,13,12,8,10,3,7,24,11,27,3,15,4,10,15,5,7,14,9,12,21,9,17,8,7,5,17,14,9,1
"ATP5MK",8,17,2,5,16,8,8,1,6,2,13,23,3,3,4,1,3,2,4,5,3,2,11,6,18,8,33,7,9,29,31,2,2,2,14,8,4,7,14,6,13,8,12,5,13,14,16,39,7,2,5,10,25,17,10,12,36,26,19,9,8,5,31,34,12,18,7,7,7,13,35,42,101,10,16,6,24,45,6,16,17,10,30,59,18,8,16,18,17,36,20,14,3
"ABHD14B",6,1,1,2,2,2,6,0,3,0,3,3,1,2,3,2,0,2,3,3,5,0,6,3,8,3,4,1,4,9,17,1,0,0,7,6,3,0,6,3,4,3,8,1,6,3,0,12,2,3,1,1,15,20,10,1,4,10,5,2,7,3,16,18,3,7,4,5,5,5,12,9,13,2,5,1,3,20,1,2,9,9,6,12,4,5,5,6,3,7,7,4,1
"HAVCR2",3,0,2,2,4,2,3,0,3,1,1,0,3,0,0,1,3,2,0,4,1,1,0,1,1,1,9,2,3,7,4,2,1,1,0,4,0,3,2,3,5,2,6,5,2,4,1,3,2,4,2,0,6,7,2,2,3,0,1,2,3,7,5,16,0,7,3,1,2,6,8,2,4,5,1,1,1,9,3,4,5,6,4,2,16,2,0,4,0,7,7,9,1
"SYAP1",1,3,2,3,0,3,2,1,0,0,4,3,2,0,3,3,1,1,0,0,0,1,2,3,5,2,4,1,1,10,5,1,0,1,7,4,2,0,5,3,4,1,11,6,6,9,4,8,1,3,2,2,22,26,9,2,4,8,5,5,0,4,46,10,8,6,1,5,3,3,9,11,23,6,7,3,9,9,2,2,5,6,12,14,2,3,2,6,7,18,4,2,2
"SPPL2A",0,6,0,1,0,2,2,0,0,0,0,4,1,1,1,2,2,1,1,4,1,0,1,3,5,3,5,0,1,10,9,2,0,5,5,5,0,0,1,4,6,2,8,3,8,8,3,10,5,3,1,2,14,15,11,1,3,5,3,5,4,5,11,13,3,4,4,2,3,3,10,11,14,2,2,1,3,5,3,5,7,1,5,10,6,3,4,5,5,4,7,17,1
"ATAD1",3,1,1,1,2,2,2,0,0,1,4,5,2,1,2,2,0,2,0,2,3,1,0,3,9,2,4,0,0,8,6,1,1,4,2,4,3,2,1,4,0,0,2,3,2,1,5,9,3,3,3,3,13,33,3,5,12,5,4,1,3,1,13,5,4,2,2,5,4,1,9,12,15,2,2,4,6,8,3,8,6,1,4,6,4,6,1,2,4,6,1,4,0
"PLXDC2",5,0,0,4,0,0,0,2,0,0,1,1,0,1,2,4,3,1,1,1,1,1,0,2,6,1,2,1,2,4,2,1,0,2,2,1,1,0,3,2,3,1,14,4,8,4,2,3,1,2,1,2,14,14,4,3,1,0,3,3,2,1,14,13,3,3,2,1,3,2,12,8,6,4,4,3,8,7,3,6,7,8,6,8,12,5,3,3,1,4,7,2,0
"FAM136A",3,8,1,1,2,5,4,0,2,2,1,3,0,0,10,3,0,4,2,3,2,3,7,3,10,2,9,6,4,13,11,2,1,0,10,8,3,0,4,1,3,2,8,1,4,6,2,11,2,2,1,4,8,12,8,2,8,11,5,1,2,5,8,11,1,8,2,2,2,2,6,15,5,5,10,7,4,18,3,10,13,3,18,18,4,9,6,8,3,6,10,3,3
"PPP1R15B",3,2,0,1,1,6,11,3,2,0,0,3,1,3,12,1,0,2,1,1,1,1,0,3,24,9,5,1,4,38,21,2,1,4,8,12,7,0,6,2,7,4,6,3,9,11,4,6,5,8,5,2,16,20,2,3,7,3,4,5,5,5,13,5,3,4,6,1,2,3,17,11,33,2,2,2,6,6,2,14,3,1,9,29,10,4,2,6,10,11,5,9,0
"FIZ1",5,2,0,1,1,2,4,2,1,4,1,9,0,4,9,2,4,4,1,2,7,2,3,5,14,7,13,7,5,8,25,3,5,5,19,7,2,5,8,2,6,1,4,2,10,3,7,3,5,10,2,3,14,20,9,3,10,8,3,2,7,67,16,8,8,6,3,4,2,4,18,9,33,1,6,4,5,12,4,8,6,7,4,12,11,6,11,13,6,8,7,5,3
"FAM104A",3,0,1,1,0,1,3,1,1,2,4,9,3,1,5,2,3,1,1,0,2,2,1,2,9,4,18,2,3,8,17,1,3,1,7,3,2,0,2,3,3,3,3,2,1,1,0,6,5,0,1,1,8,16,4,0,6,8,5,6,4,1,16,10,5,6,2,3,5,2,2,6,12,2,5,3,10,11,1,5,6,1,6,9,10,3,8,3,1,9,3,5,3
"SPRYD3",4,4,2,0,0,2,3,2,2,0,3,2,1,4,0,0,0,2,0,2,1,0,1,0,2,1,3,1,4,1,13,0,0,1,11,2,1,1,1,1,2,1,7,1,3,5,2,0,3,6,3,2,6,11,7,2,3,5,0,4,1,4,25,3,1,2,5,2,4,2,6,11,15,6,3,1,10,5,4,2,4,2,4,10,8,0,6,2,2,9,5,6,1
"TMEM209",3,3,0,3,1,1,3,1,1,0,3,5,0,2,2,0,2,1,1,2,3,0,5,2,7,2,10,4,4,11,8,0,3,2,2,3,4,1,4,1,6,7,4,1,6,2,4,9,2,3,7,1,6,16,3,2,5,3,1,2,7,1,6,8,3,10,3,5,3,2,8,4,12,6,8,7,7,15,4,8,10,3,9,3,3,2,16,4,1,5,4,4,3
"LTV1",4,3,2,1,2,2,2,0,1,1,2,0,1,1,1,0,0,1,0,4,0,0,2,2,14,3,6,7,1,16,5,2,0,4,6,1,4,1,2,3,3,2,3,1,3,1,5,9,3,1,4,1,6,12,6,2,6,1,2,4,5,3,5,2,3,9,2,2,1,3,5,2,11,0,9,1,5,5,2,5,4,4,7,3,0,4,4,1,1,6,3,4,1
"RBM17",1,4,0,1,4,1,3,1,0,0,5,5,1,3,5,1,2,6,1,2,4,2,6,1,7,4,14,10,5,5,15,1,1,2,11,7,2,1,4,2,7,3,10,4,3,4,5,17,3,5,3,2,9,13,7,7,13,7,5,6,5,4,13,14,11,16,3,5,4,8,12,16,20,5,5,2,6,16,5,8,12,7,18,15,10,8,3,8,5,16,10,6,2
"TCEAL3",2,1,2,0,2,2,4,0,0,0,4,6,1,3,1,2,0,1,0,0,1,0,0,2,4,5,4,8,3,4,26,0,0,2,8,1,1,0,1,3,0,0,8,3,6,6,2,4,3,3,1,3,15,16,4,2,0,4,9,0,1,1,26,1,3,4,2,3,0,1,24,5,72,3,6,1,6,12,1,7,3,4,15,8,7,2,4,0,11,8,7,4,1
"TMEM141",2,2,2,2,0,3,0,3,3,1,4,3,1,1,3,2,0,4,1,2,1,0,0,2,5,5,6,2,1,10,10,1,1,2,0,5,2,0,1,4,1,1,9,0,10,9,0,6,2,4,3,4,17,13,1,2,4,14,2,3,1,0,11,7,2,5,1,3,1,3,5,6,18,8,5,2,1,7,2,5,3,4,12,7,3,7,3,2,4,6,3,5,1
"POLR2C",2,3,1,0,3,3,4,2,3,0,3,9,1,1,3,2,1,5,0,0,2,0,5,1,9,4,5,5,2,12,13,1,0,2,6,2,2,4,8,0,7,2,5,1,5,2,4,8,4,3,0,4,15,16,7,2,8,3,2,2,7,0,9,9,2,7,5,2,1,6,13,16,28,4,1,5,4,13,6,4,4,3,11,20,5,1,8,4,4,8,9,3,0
"AIF1",5,5,2,4,3,1,2,1,1,2,2,3,1,8,2,2,1,2,0,7,2,2,5,6,10,4,21,1,11,8,10,3,1,13,4,6,1,4,6,9,10,6,19,8,4,6,5,9,6,9,5,4,8,26,32,1,9,1,2,1,4,12,7,58,10,17,14,7,3,16,18,26,7,7,15,2,11,15,2,8,23,15,11,13,22,8,5,3,6,7,8,13,9
"CASP2",0,4,1,1,1,2,0,1,3,1,2,8,0,0,1,1,1,3,0,1,2,0,1,3,13,11,7,7,1,7,14,1,3,2,4,1,4,0,7,2,2,1,6,2,6,4,6,4,4,9,2,3,11,17,2,2,5,2,3,5,0,5,8,6,11,4,4,6,2,4,10,9,15,0,5,2,2,7,2,7,5,0,6,9,4,6,8,3,5,11,4,8,1
"PDGFB",0,2,0,2,1,0,1,0,5,0,2,1,1,2,1,1,1,2,1,1,4,1,4,0,5,2,7,0,3,7,6,1,0,3,6,2,0,0,2,4,2,2,7,0,7,7,5,1,2,3,1,1,10,26,9,1,5,3,3,2,1,10,11,3,1,9,3,4,1,6,8,13,6,1,4,4,8,2,5,4,5,3,9,3,6,12,12,5,4,8,9,3,1
"MFSD14A",1,1,2,1,2,0,1,2,0,0,2,2,2,1,0,2,1,2,3,1,0,0,0,0,2,6,4,2,5,4,11,1,2,3,9,4,1,0,2,2,5,2,11,7,5,3,5,4,2,1,6,1,7,13,6,4,12,5,4,2,3,4,13,8,0,3,2,1,2,4,1,5,10,0,5,2,5,10,1,2,2,2,1,25,5,3,2,4,1,5,5,5,3
"SARNP",1,5,1,1,0,1,1,1,1,0,3,3,0,0,6,1,1,0,1,1,5,2,1,5,6,3,9,2,1,8,13,1,0,7,9,8,1,0,3,3,2,1,5,1,3,15,10,10,4,0,2,2,9,14,4,4,2,10,4,4,1,2,15,10,5,10,5,2,4,3,12,7,22,2,4,1,4,12,3,4,5,5,4,17,10,3,4,4,3,8,9,2,1
"EAF1",3,4,1,1,1,0,1,0,4,1,3,1,1,3,3,1,1,4,1,2,1,2,0,3,6,5,4,2,5,13,15,0,0,3,1,6,2,1,4,1,2,3,5,8,1,3,1,3,3,1,3,2,10,13,4,2,1,5,6,1,3,2,11,3,6,3,2,0,0,4,4,1,9,2,0,2,5,12,5,3,4,2,11,9,4,3,2,2,4,7,4,6,3
"FGD3",1,2,1,2,2,0,2,0,0,0,3,3,1,2,1,1,0,1,0,1,0,1,0,5,3,7,6,1,2,3,9,4,1,7,9,2,0,1,13,3,0,0,6,1,4,2,1,4,8,9,2,1,12,15,5,2,2,2,18,7,4,3,12,14,5,2,5,6,7,2,13,10,18,4,1,1,12,13,3,2,18,5,6,9,7,4,2,5,5,20,8,9,1
"ALG2",0,3,0,0,1,2,0,2,4,0,5,7,0,0,3,2,1,2,1,2,1,1,3,2,8,2,5,2,2,3,5,1,2,3,6,7,1,3,1,5,5,3,8,2,5,5,1,9,2,3,3,1,12,15,6,2,10,6,2,0,3,2,12,8,1,2,1,10,2,1,9,9,9,2,3,0,4,8,4,4,6,3,10,3,7,1,3,1,2,4,5,4,0
"ZCCHC3",1,8,1,1,3,3,3,1,2,1,2,9,4,1,4,0,1,2,0,0,1,2,1,3,5,1,10,2,1,12,13,2,1,5,2,4,1,1,0,1,5,2,6,0,2,5,2,12,3,3,1,4,8,17,3,0,1,6,4,0,2,2,12,2,3,5,5,1,1,4,10,9,13,3,1,4,2,6,7,6,3,3,13,9,34,1,2,6,4,5,3,2,1
"RHPN2",3,3,1,2,0,5,3,0,2,1,3,5,0,1,0,2,0,0,1,2,1,1,2,1,2,3,3,3,4,7,6,2,1,1,6,3,1,0,3,1,5,2,7,1,2,4,4,4,3,1,4,3,13,24,1,2,2,5,2,2,2,5,4,8,6,8,1,1,3,2,7,11,11,2,4,3,4,9,1,6,12,3,4,8,9,6,2,6,3,6,4,5,2
"ANKRD13A",1,2,4,2,1,0,1,0,1,0,1,2,0,6,6,1,3,1,2,1,0,0,0,4,4,5,9,5,1,4,4,3,3,2,2,8,2,2,9,1,4,2,6,0,4,5,4,7,1,0,4,3,4,12,12,1,5,5,4,1,5,4,13,17,2,7,1,3,5,5,3,4,21,5,5,0,6,3,4,3,9,3,5,4,5,6,0,1,8,6,9,3,3
"CNP",3,6,3,1,3,4,3,0,0,1,2,2,2,1,3,2,0,1,1,2,5,0,5,2,4,6,22,5,5,9,8,1,0,4,3,0,0,0,4,1,4,2,7,4,4,6,5,8,0,4,3,5,10,19,7,4,11,5,1,3,8,3,11,14,7,3,4,3,4,4,9,11,15,3,6,1,11,13,3,8,7,9,9,12,15,7,5,11,4,16,6,4,4
"SURF4",2,3,2,2,3,5,3,1,5,2,2,11,3,1,11,2,1,4,4,2,1,1,2,3,17,9,20,7,3,21,37,8,2,1,23,11,2,1,7,9,8,34,6,0,10,10,2,17,4,5,1,11,18,26,15,7,19,28,9,4,9,8,29,18,5,9,4,3,3,6,12,24,43,7,15,2,13,31,6,8,12,6,24,41,7,5,8,7,9,19,10,5,3
"NKX2-4",8,2,3,6,2,2,4,5,2,4,8,8,3,9,2,2,7,4,1,4,4,3,3,3,11,2,17,4,7,8,16,4,2,8,5,6,4,1,11,8,12,6,10,1,21,10,5,7,9,3,10,7,9,63,15,4,10,8,9,5,10,7,18,24,4,12,5,16,8,10,15,11,16,11,9,6,12,11,8,29,20,7,15,21,13,11,16,8,9,13,17,19,8
"PIGS",4,6,3,1,1,1,1,0,2,2,2,3,2,0,1,0,1,0,2,6,0,3,1,1,7,4,12,2,0,8,15,0,0,2,9,6,1,1,5,3,4,0,3,0,2,4,0,5,0,0,5,5,16,16,3,4,5,5,5,1,3,3,19,2,3,6,2,2,0,5,24,8,10,3,3,6,2,14,2,2,7,1,13,4,5,4,10,2,3,10,11,5,1
"LMF2",1,1,4,0,0,1,2,0,2,0,1,3,0,0,0,0,1,4,1,0,2,2,3,2,1,3,4,2,0,4,13,0,0,0,1,2,2,2,2,0,6,2,6,2,4,3,4,3,2,3,2,4,10,17,6,5,4,6,6,3,4,4,10,7,8,7,3,2,3,6,9,7,10,3,4,1,2,6,4,5,4,4,4,19,4,2,3,10,7,8,3,4,0
"PURB",2,9,1,3,4,1,2,1,1,0,7,11,3,2,2,0,1,2,2,1,1,3,2,1,19,4,15,4,3,26,13,1,1,1,7,5,3,0,3,2,11,3,9,1,5,9,4,7,1,3,2,4,7,23,2,3,8,9,7,2,4,4,11,9,0,10,4,4,5,5,14,7,32,2,4,5,7,21,4,3,5,3,15,9,8,5,10,4,12,6,10,6,1
"DGCR6L",3,7,0,3,5,0,5,4,2,0,7,4,1,4,4,1,3,5,2,2,2,1,7,10,6,2,10,9,6,22,15,2,0,2,7,13,2,0,4,3,2,4,15,0,12,3,1,5,7,3,4,1,22,43,3,5,5,10,3,4,7,1,32,10,7,9,6,9,6,3,20,13,33,4,11,7,7,19,4,15,12,5,27,15,4,11,9,13,2,14,5,5,1
"BTBD6",14,10,8,11,5,9,5,5,7,7,8,10,8,10,11,2,7,5,5,12,9,7,15,13,28,20,45,21,21,37,41,9,4,14,18,11,9,4,20,8,12,10,10,3,31,4,13,9,8,14,10,14,20,84,21,7,8,13,25,3,23,12,26,30,9,18,5,20,12,18,18,22,33,7,17,17,10,21,8,41,17,17,23,23,8,13,25,22,6,12,18,22,6
"SEC11C",4,3,1,2,2,6,3,0,4,0,4,10,0,2,2,2,3,3,3,0,1,0,9,2,9,2,28,2,8,9,13,3,0,4,7,13,0,2,4,2,9,5,14,0,9,3,5,96,3,2,3,15,14,35,54,3,111,5,5,2,6,5,26,52,7,25,4,1,2,1,12,14,28,3,8,0,5,17,2,2,4,2,7,11,10,4,3,7,4,6,14,4,4
"MRPS36",2,1,0,1,3,1,1,1,0,2,1,5,3,3,1,0,2,0,3,4,3,1,3,3,4,2,4,2,4,4,11,1,0,4,9,3,0,0,8,3,5,1,8,1,1,4,8,5,2,6,1,4,5,21,5,3,5,1,5,2,4,4,15,9,4,2,3,3,4,2,7,6,8,3,8,1,5,12,5,5,5,5,7,5,6,4,4,4,1,2,8,4,2
"TP53INP1",1,4,2,0,1,1,3,0,0,1,1,9,1,1,2,1,1,4,2,2,1,0,1,1,5,3,8,0,1,3,6,4,2,2,5,0,3,0,2,3,5,5,2,2,4,5,5,23,4,0,2,5,6,21,11,2,20,4,2,2,6,8,14,8,0,11,1,3,4,2,8,5,64,1,4,1,3,6,1,3,10,0,0,9,1,4,1,3,2,3,2,6,3
"MRFAP1",7,15,5,6,5,9,19,2,14,3,23,45,3,5,13,3,5,9,9,3,10,5,16,7,39,27,48,18,15,47,86,4,2,3,40,12,3,11,9,11,13,9,28,5,11,27,12,27,11,20,3,18,46,48,30,11,18,46,23,15,8,10,94,48,18,19,18,5,12,11,92,39,59,6,10,14,25,70,15,13,19,9,33,59,37,12,22,19,26,39,34,15,11
"RPL8",78,44,11,20,24,36,16,22,18,11,36,162,11,5,71,11,12,9,22,12,36,11,31,30,190,46,118,40,35,281,153,23,13,18,78,85,30,11,82,21,43,29,62,14,92,41,35,142,45,28,29,34,68,390,72,36,138,51,99,33,37,68,79,92,43,88,32,132,30,45,101,134,418,22,83,20,55,524,36,253,74,29,101,221,74,56,52,68,42,89,144,56,14
"KCNK4",13,10,4,10,2,5,9,1,14,7,17,18,11,8,4,4,10,8,5,6,5,6,6,55,18,15,50,6,22,29,20,10,6,19,16,16,3,3,12,11,10,11,11,5,20,7,10,17,5,9,19,11,15,86,23,10,23,6,24,7,24,24,28,30,12,13,9,21,16,13,20,24,21,13,18,13,14,26,6,44,22,10,26,21,17,15,23,27,12,17,27,23,12
"MYO1C",0,5,2,1,2,2,3,0,1,1,0,7,0,0,4,5,1,3,1,5,1,2,3,2,10,9,9,2,7,14,14,1,0,2,10,6,1,0,5,4,6,2,11,3,3,11,5,9,9,0,1,8,23,23,8,2,3,10,7,4,8,3,33,12,1,7,2,5,2,8,15,17,16,2,8,0,7,15,3,15,5,4,9,10,7,5,5,2,11,10,7,3,0
"CGB2",1,1,1,1,0,0,5,0,3,2,1,4,1,1,2,0,1,2,1,2,0,3,3,2,4,3,4,1,6,7,9,2,1,2,5,5,0,0,7,5,3,1,11,1,7,7,5,1,2,4,2,13,12,19,3,2,1,7,7,4,6,5,6,6,1,3,4,3,4,2,11,7,3,7,5,4,5,3,5,4,10,5,6,7,8,5,4,3,1,5,3,4,0
"SSH2",2,2,0,3,1,2,0,0,1,3,2,1,2,3,1,0,1,0,0,1,0,0,2,5,5,0,6,2,3,4,4,2,0,3,3,4,0,0,12,4,3,1,6,1,8,3,4,5,8,6,3,1,13,24,4,1,5,1,7,2,3,2,5,11,2,12,3,4,3,7,6,8,6,2,5,4,3,2,6,1,10,5,4,6,13,6,15,5,5,5,6,6,2
"TANC1",1,6,1,2,1,5,2,0,5,1,1,5,2,5,9,0,0,0,0,1,2,1,2,1,4,5,11,4,8,13,11,0,2,4,8,7,2,0,3,2,1,0,4,0,6,7,6,1,1,2,0,2,5,14,4,5,1,4,5,1,5,2,12,5,3,3,1,3,3,7,4,16,8,3,1,2,11,1,4,12,3,5,9,10,7,6,6,3,5,9,13,4,2
"TNKS1BP1",1,5,0,0,2,0,1,0,3,1,0,0,1,1,2,1,0,2,0,2,3,0,2,3,4,8,4,4,7,9,27,0,3,0,20,3,0,1,1,3,4,0,8,0,5,5,4,2,1,3,1,2,5,18,1,3,1,10,7,5,0,0,23,4,1,2,1,0,3,4,5,7,13,0,3,2,4,13,3,6,3,2,6,7,5,5,3,5,5,14,3,3,4
"ZNF764",5,1,5,2,3,3,4,3,1,11,5,79,1,0,2,1,1,5,2,1,3,1,3,5,5,12,8,3,8,10,14,1,1,9,15,7,4,0,4,5,7,6,13,1,12,10,9,1,4,2,1,3,16,25,5,6,5,8,7,2,7,9,19,13,7,5,2,5,8,6,12,9,31,11,6,3,10,7,2,8,9,10,16,17,9,7,11,9,8,16,3,7,1
"PGAP3",4,7,0,3,7,28,0,2,1,1,2,44,6,2,53,0,1,3,7,7,15,1,1,1,1,3,58,0,3,10,9,4,1,0,9,9,2,7,6,8,1,1,3,2,4,3,1,9,6,7,2,13,5,15,10,0,6,4,14,4,3,4,4,4,2,4,2,5,5,5,8,29,11,3,4,16,7,25,4,4,9,6,22,62,7,1,23,3,2,5,7,12,3
"TRIM47",3,1,0,0,0,1,3,1,2,0,2,1,0,1,0,0,1,0,0,0,1,0,1,1,4,2,4,2,2,11,12,0,0,2,6,3,0,1,2,1,6,0,3,2,2,2,6,5,1,5,3,0,2,9,10,1,3,5,8,3,1,4,7,5,6,3,2,4,0,2,10,13,1,5,4,1,8,8,1,10,1,8,8,22,5,6,2,3,4,6,3,3,1
"TMEM54",2,7,0,2,1,6,3,0,1,0,1,6,1,1,3,0,1,1,1,0,2,1,3,0,7,15,13,2,1,4,48,0,1,1,15,3,1,1,0,1,0,0,4,3,7,4,3,1,3,1,1,1,7,17,3,3,0,9,4,0,0,1,12,1,14,1,3,2,1,9,8,3,22,1,6,3,2,6,3,0,2,2,8,11,3,5,5,3,4,15,3,5,1
"MFN1",1,3,0,1,0,2,0,2,1,0,0,3,0,0,3,2,0,0,1,3,3,3,2,1,8,5,6,4,4,7,7,4,0,3,2,4,2,0,2,3,3,1,10,0,3,5,3,5,2,3,2,1,13,15,4,3,5,9,2,4,4,1,19,6,5,5,5,5,1,4,8,11,27,6,4,3,8,1,1,8,5,5,9,3,4,6,6,7,5,9,6,2,0
"TP53RK",1,1,0,0,1,1,0,0,1,0,2,6,1,1,2,1,0,1,1,1,2,1,1,2,6,5,3,5,3,10,13,0,0,2,6,0,5,0,1,0,0,0,5,3,6,4,1,1,6,4,2,1,8,17,6,3,3,6,2,1,2,1,13,2,2,3,3,1,2,2,2,5,14,3,2,3,5,7,0,4,5,2,5,22,2,4,1,6,6,7,7,6,1
"HLA-DPA1",36,24,9,20,17,14,15,11,22,2,19,3,8,15,9,10,7,20,4,13,23,4,6,123,82,16,99,6,74,43,30,31,3,70,11,51,6,17,174,74,118,123,126,27,7,43,13,173,145,68,111,15,111,43,619,10,136,48,133,38,103,214,66,668,26,243,129,38,42,49,231,138,16,74,49,8,92,85,46,19,136,16,86,122,202,36,14,33,32,89,122,171,15
"FBXO21",3,4,1,1,2,3,3,1,2,0,0,6,0,1,6,0,0,18,2,3,3,0,2,3,9,5,8,2,4,6,16,2,0,2,7,6,0,0,2,2,2,2,8,2,2,0,2,6,4,2,2,5,11,16,3,3,5,5,4,3,2,0,22,4,2,10,2,1,5,2,5,9,23,4,3,3,4,5,2,2,5,1,7,11,6,6,7,6,5,9,9,2,1
"RPL36",47,57,8,12,13,23,19,16,24,10,17,120,10,17,31,18,10,21,25,22,25,15,27,42,193,109,115,32,38,232,224,21,10,27,100,82,27,12,120,45,83,49,71,14,48,54,110,181,82,42,38,42,90,132,100,67,136,82,113,36,52,53,136,147,117,103,49,86,43,65,127,125,164,22,112,42,66,308,34,183,71,41,108,246,73,95,104,47,56,85,141,58,20
"FBXW11",2,5,0,1,5,3,4,1,5,0,2,8,0,1,2,1,3,1,1,4,4,1,7,4,12,7,13,5,2,15,17,0,4,5,6,7,1,1,7,1,2,6,8,1,6,9,0,2,5,3,3,1,19,33,12,5,7,13,8,10,6,1,22,11,2,9,5,9,1,6,14,10,18,5,3,4,3,8,6,9,17,3,11,14,9,5,7,12,5,11,7,7,3
"ITGB1",7,6,4,2,10,3,6,5,12,4,10,10,0,1,3,7,3,6,3,3,11,6,6,4,24,8,26,17,16,18,27,4,4,18,15,8,8,3,17,11,20,11,32,4,16,19,18,21,17,12,7,19,20,27,19,11,34,13,16,11,21,15,33,32,28,36,20,9,17,19,33,73,32,13,20,14,48,37,11,18,14,15,33,40,27,20,18,13,16,30,37,14,8
"CCDC97",4,2,1,2,3,2,4,1,0,2,2,6,1,5,0,3,0,1,0,0,2,1,2,2,5,3,5,4,3,6,4,1,3,3,3,2,1,1,5,5,3,3,5,0,4,4,2,5,4,1,5,3,7,19,6,0,7,2,2,2,2,4,5,6,5,3,5,4,2,4,9,4,13,1,7,1,7,14,2,10,12,5,6,7,3,2,0,2,3,2,7,1,1
"CREB3L1",2,0,1,3,2,8,4,1,1,0,2,3,0,0,5,0,0,0,0,0,2,0,1,3,7,1,20,1,2,8,10,2,0,2,10,5,1,3,2,2,4,8,19,3,6,8,0,1,0,3,0,3,47,23,4,1,1,29,1,1,0,1,98,2,1,0,0,1,4,1,3,68,203,2,1,1,8,8,2,15,3,3,20,199,5,2,5,5,1,7,3,6,1
